,id_str,text,screen_name,location,country,created_at,first_hashtag
34,1388644401417789445,"RT @mfe_123: Bro one of the things that sucks with PCOS is i can be feeling myself one day and then next inflammation kicks me in the ass,…",jasminecahbaeyo,,,2021-05-01 23:59:59,
35,1388644401367470081,"RT @ABiteOfPod: Next season on A Bite Of we will be going to Ravka and breaking down Netflix’s #ShadowandBone! 
Grab your Kefta and go into…",ABiteOfPod,,,2021-05-01 23:59:59,ShadowandBone
36,1388644401111523333,"@s_guilbeault @CPC_HQ There is some great Canadian talent out there but let's face it, if you need to force content… https://t.co/HJ3L26sdjN",Bill_Henwood,,,2021-05-01 23:59:59,
37,1388644401052848131,"ᅠ
ᅠ
I got into baking thanks to you,  so 
you can ask me what you'd like.  

(  Smiling at the devil,  landing a ki… https://t.co/zLHBvtO9N6",SOULBXNDED,,,2021-05-01 23:59:59,
38,1388644400998268929,@thistallawkgirl Wait till the chip lodges in an organ.  I can now charge my phone from 37k feet!  (BTW this is a joke),damaysofficial,"Cary, NC",United States,2021-05-01 23:59:59,
39,1388644400973205507,"RT @batkaren: “I’ll miss this place,” the graduating senior says.

“You’ll see it again.” I smile. “In dreams, whenever you have anxiety. I…",asyouknowBob,,,2021-05-01 23:59:59,
40,1388644400926842882,"RT @reiner55art: Since Ben10k was the winner i had to deliver, enjoy ;)

Show this one some love if u think I should make it a full illustr…",destroyer_khan,,,2021-05-01 23:59:59,
41,1388644400859783169,"RT @ErrolWebber: For a country that spent years killing an entire generation in the womb, but tells adults to wear masks to “save lives,” y…",AxeMountain,,,2021-05-01 23:59:59,
42,1388644400763449345,"RT @GTWScar: We are blown away by the incredible support given to @SOS_Africa on today's stream! You raised over $100,000 towards helping p…",AnthonnyAG,,,2021-05-01 23:59:59,
43,1388644400717303808,RT @bluesatch: The branch manager coming to deny you of a small business loan  https://t.co/b8msxYu3Z9,2ShotsOfB,,,2021-05-01 23:59:59,
44,1388644400658583554,"These days, every business is making a beeline for the #publiccloud. Dig deeper to know the risks that come with th… https://t.co/QJ3clZWKjY",CalsoftInc,,,2021-05-01 23:59:59,publiccloud
45,1388644400637612035,"RT @Aligulpir: Apa @KanganaTeam reminds us of the dangers of news reporting by comparing it to a pandemic. If news stops, deaths will too!…",TheHassanAmin,,,2021-05-01 23:59:59,
46,1388644400633323521,"@DavidCasselTNS  Later ported the game over to two other pre-internet online services,   CompuServe and an online s… https://t.co/5utOI8iOAi",usuallyontheflr,,,2021-05-01 23:59:59,
47,1388644400620654594,"""The performance is love, It's a dance for me."" - Jim Carrey, The Hollywood Reporter

#JimCarrey https://t.co/nM1hKn31zt",loversoulmmm,,,2021-05-01 23:59:59,JimCarrey
48,1388644400599912455,"RT @Ballandalus: An extraordinary item has been recovered by police in Alicante, Spain: a rare gold dinar minted in Córdoba around 716-717…",FlippinAlbanian,,,2021-05-01 23:59:59,
49,1388644400562065414,@Globoyjayy01 you got me dealing with these A&amp;M folks 😂😂 we should be in the SWAC tho,chillwill000,,,2021-05-01 23:59:59,
50,1388644400549400578,Alberta is very quickly becoming an unlivable province. Our gov't is pandering to all the wrong groups and people a… https://t.co/upSUMt9Ffq,N88TE,,,2021-05-01 23:59:59,
51,1388644400528609280,"I’m really happy for Larin. A couple of seasons ago he just didn’t seem the right fit for us, but he went away and… https://t.co/8pHowhsspv",BJKUK1903,,,2021-05-01 23:59:59,
52,1388644400453013504,RT @bsarwary: #AFG Ezatullah son of the murdered tribal chief Akbar Khakrizwal was assassinated in Kandahar city in PD9 last night. In PD3…,The_War_TARDIS,,,2021-05-01 23:59:59,AFG
53,1388644400436219907,RT @Reuters: WATCH: Cows seem to jump for joy on a farm in southern Sweden as they are taken out for the first time after the winter months…,gretaschmelzer,,,2021-05-01 23:59:59,
54,1388644400432140290,RT @PeteWest420: MAGGIE HASSAN co-sponsored a bill that supports STEM education and workforce development and research focused on rural are…,JaniceReardon2,,,2021-05-01 23:59:59,
55,1388644400431960065,@PreetBharara @JoyceWhiteVance Looks like a plant....I love the double meaning.,jill_zieglar,,,2021-05-01 23:59:59,
56,1388644400402636802,"RT @iIyunie: engenes, this doesnt end here, we still need to increase our views, create a huge gap in the votings &amp; maintain the chart, its…",jksagapi,,,2021-05-01 23:59:59,
57,1388644400268398592,RT @monopolyfox: could you IMAGINE lighting a building on fire and seeing it go up in flames as you hear a ukulele and a voice softly singi…,kiyokospeaks,,,2021-05-01 23:59:59,
58,1388644400260059138,gimme a choice &amp; ima always choose the best,moneyyjustaword,,,2021-05-01 23:59:59,
59,1388644400239153158,"RT @milk_woman_: told a girl in direct simple terms that I’ve realized I am fully infatuated w her, told her calmly that the passion is ove…",AL0SA,,,2021-05-01 23:59:59,
60,1388644400218001408,"RT @DNPthree: I'll give $100 to a random person who retweets this within the next 10 minutes. 

Be sure to drop a like on the quoted tweet…",gabriel01344671,,,2021-05-01 23:59:59,
61,1388644400197214209,RT @MsAvaArmstrong: If Trump was on video bragging about extorting Ukraine for $1 billion to keep his son's corrupt company safe from prose…,PJBottoms4,,,2021-05-01 23:59:59,
62,1388644400184578051,"RT @fapsnnaps: after many hospital &amp; doc visit they found out i have a tumor &amp; im due for surgery soon, ive been out of work for about 3 we…",_guffaw_,,,2021-05-01 23:59:59,
63,1388644400180436992,RT @Typhek_The_Rex: When I'm just in the heat of the moment. My big shark is gonna take advantage of the sweat I'm work'in up while gaming.…,Managarmnr,,,2021-05-01 23:59:59,
